artist_name,track_name,popularity,duration_ms,album,release_date,collaborating_artist,explicit,number_of_markets,available_markets
Ilayaraja,"Ooru Sanam Thoongidichu (From ""Mella Thirandhadhu Kadhavu"")",19,278400,Ilayaraja Love bites,2023-07-13,S. Janaki,False,,
Ilayaraja,"Oru Naalum (From ""Ejjaman"" )",2,359026,Ilayaraja Love Beats,2023-07-13,Vaali,False,,
Ilayaraja,"Aalappol Velappol (From ""Ejjaman"" )",1,304848,Ilayaraja Love Beats,2023-07-13,Vaali,False,,
Ilayaraja,"Nila Kayuthu Neram Nalla Neram (From ""Sakalakala Vallavan"")",47,272760,Iravin Sorgam,2024-07-19,Vaali,False,,
Ilayaraja,Naanaga Naanillai Thaye (Version 1),48,272493,Thoongathe Thambi Thoongathe (Original Motion Picture Soundtrack),2024-01-05,Vaali,False,,
Ilayaraja,"Yenge Jen Jeevane (From ""Uyarndha Ullam"")",17,299386,Ilayaraja Love bites,2023-07-13,Vaali,False,,
Ilayaraja,Varudhu Varudhu Ada Vilagu,45,253400,Thoongathe Thambi Thoongathe (Original Motion Picture Soundtrack),2024-01-05,Vaali,False,,
Ilayaraja,"Nethu Raathiri Yamma (From ""Sakalakala Vallavan"")",44,270760,Iravin Sorgam,2024-07-19,Vaali,False,,
Ilayaraja,Naanaga Naanillai Thaye (Version 2),44,274253,Thoongathe Thambi Thoongathe (Original Motion Picture Soundtrack),2024-01-05,Vaali,False,,
Ilayaraja,"Aadi Maasa Kaathadikka (From ""Paayum Puli"")",41,334080,Iravin Sorgam,2024-07-19,Vaali,False,,
A.R. Rahman,"Adangaatha Asuran (From ""Raayan"")",70,249027,"Adangaatha Asuran (From ""Raayan"")",2024-05-09,Dhanush,False,,
A.R. Rahman,"Agar Tum Saath Ho (From ""Tamasha"")",53,341054,A.R. Rahman All Time Favourites,2022-06-16,Alka Yagnik,False,,
A.R. Rahman,"Water Packet (From ""Raayan"")",70,246002,"Water Packet (From ""Raayan"")",2024-05-24,Santhosh Narayanan,False,,
A.R. Rahman,"Kabhi Kabhi Aditi (From ""Jaane Tu... Ya Jaane Na"")",48,218836,A.R. Rahman All Time Favourites,2022-06-16,Rashid Ali,False,,
A.R. Rahman,"Rait Zara Si (From ""Atrangi Re"")",71,291462,"Rait Zara Si (From ""Atrangi Re"")",2021-12-06,Arijit Singh,False,,
A.R. Rahman,Kun Faya Kun,71,470500,Rockstar,2011-10-01,Javed Ali,False,,
A.R. Rahman,Enna Sona,68,213632,OK Jaanu (Original Motion Picture Soundtrack),2017-01-04,Arijit Singh,False,,
A.R. Rahman,Tere Bina,69,309640,Guru (Original Motion Picture Soundtrack),2006-09-11,Chinmayi,False,,
A.R. Rahman,Ennodu Nee Irundhaal,67,352710,I (Original Motion Picture Soundtrack),2014-09-18,Sid Sriram,False,,
A.R. Rahman,Raanjhanaa,67,254653,Raanjhanaa (Original Motion Picture Soundtrack),2013-05-31,Jaswinder Singh,False,,
Yuvan Shankar Raja,"Whistle Podu (From ""The Greatest Of All Time"")",67,281268,"Whistle Podu (From ""The Greatest Of All Time"")",2024-04-14,Yuvan Shankar Raja,False,,
